comment_eng,sarc_majority
"['thank', 'brim', 'turned', 'line', 'cost', 'living', 'increases', 'right', 'soon', 'public', 'transport', 'also', 'increase', 'longer', 'najib', 'rule', 'higher', 'brim']",sarc
"['countries', 'need', 'brim', 'need', 'us', 'want', 'pay', 'national', 'debt', 'restore', 'economy']",sarc
"['thank', 'god', 'took', 'berries', 'year', 'next', 'year', 'already', 'anyway', 'inshallah']",non-sarc
"['yay', 'brim', 'thanks', 'jib', 'price', 'later', 'reason', 'people', 'bubble', '???', 'money', 'debt', 'brim', 'many', '???haha']",sarc
"['brim', 'need']",non-sarc
"['gst', 'brim']",non-sarc
"['corruption', 'malaysia']",non-sarc
"['brim', 'giving', 'unfair']",non-sarc
"['brim', 'confirm', 'oil', 'would', 'correct', 'gst']",non-sarc
"['cause', ""country's"", 'debt', 'resolved']",non-sarc
"['pm', 'worst', 'history', 'country', 'character', 'pm', 'shock', 'saw', 'people', 'talking', 'disgusted']",non-sarc
"['people', 'fool', 'us', 'hoi', 'remember', 'days', 'pharaohs', 'see', 'temperament', 'pharaoh']",non-sarc
"['old', 'bankrupt', 'government', 'spending', 'lot', 'little', 'profit', 'ceo', 'stupid', 'tax', 'increase']",sarc
"['chat', 'talk', 'today', 'money', 'b', 'gonna', 'tell', 'time', 'span', 'budget', 'piss', 'away', 'najib']",non-sarc
['useless'],non-sarc
"['shopping', 'new', 'course', 'brim', 'represent', 'percentage', 'total', 'government', 'budget', 'next', 'year', 'expected', 'rise']",sarc
"['budget', 'fraudsters', 'want', 'feel', 'proud', ""what's""]",non-sarc
"['suffocating', 'name', 'budget']",non-sarc
"['pissing', 'zeti', 'know', ""country's"", 'financial', 'credit', 'debit']",non-sarc
"['provision', 'management', 'provisions', 'bill', 'hundred', 'twenty', 'bills']",sarc
"['support', 'najib']",non-sarc
"['accept', 'whatever', 'set', 'create', 'best']",non-sarc
"['happy', 'people', 'drain', 'money', 'willingly', 'butcher', 'wanted', 'money', 'people', 'want']",non-sarc
"['budget', 'balanced', 'step', 'forward', 'welfare', 'penal', 'sufferings', 'awful']",sarc
"['see', 'anything', 'else', 'people', 'ask']",non-sarc
"['l', 'really', 'like', 'script', 'necessarily', 'beautiful']",sarc
"['head', 'harness', 'apsalar', 'still', 'money', 'cronies', 'create', 'parma', 'remember', 'everyone', 'buy', 'chat', 'sorts', 'wretched', 'apsalar', 'government', 'monitor', 'rise', 'house', 'prices', 'order', 'maintain', 'pockets', 'go', 'budget', 'budget', 'cronies', 'themed', 'prosperous', 'life', 'cronies', 'henchmen', 'national', 'coalition']",sarc
"['bad', 'lawyer', 'ingots', 'budget', 'hubcap', 'najib', 'many', 'housing', 'projects', 'jam']",sarc
"['budgetary', 'useless', 'significantly', 'reduce', 'cost', 'living', 'gst', 'scoop', 'taxes', 'touch', 'directly', 'removed', 'reduced', 'income', 'tax', 'rather', 'many', 'even', 'went', 'boarding', 'new', 'kind', 'lukewarm', 'country', 'less', 'people', 'also', 'become', 'victim', 'government', 'make', 'money', 'various', 'tax', 'quotation', 'civil', 'servants', 'sick', 'smile']",non-sarc
['poverty'],non-sarc
"['b', 'budget', 'haha']",sarc
['peace'],sarc
"['unpleasant', 'budget', 'budget', 'support', 'personal', 'political']",sarc
"['najib', 'pigs']",non-sarc
['best'],non-sarc
"['wow', 'magical', 'outstanding', 'profits', 'already', 'know', 'haha', 'ready', 'always', 'want', 'oil', 'drug', 'prices', 'rose', 'taxes', 'najib']",sarc
"['misbegotten', 'pm']",non-sarc
"['father', 'made', 'shame', 'pm', 'pm', 'first', 'one', 'kind', 'everyone', 'maligned', 'tell', 'come', 'realized', 'ashamed', 'pm', 'malaysia', 'worst', 'hated', 'people', 'malaysia']",non-sarc
"['budget', 'fierce', 'people', 'owe']",sarc
"['ruined', ""people's"", 'lives', 'difficult']",non-sarc
['misbegotten'],non-sarc
"['sustainable', 'economic', 'languish', 'people', 'try']",sarc
"['make', 'good', 'budget', 'puii', 'puii']",sarc
"['anal', 'budget', 'cattle']",non-sarc
"['le', 'tell', 'say', 'trust']",non-sarc
"['take', 'account', 'mdb', 'bowl']",non-sarc
"['budget', 'presented', 'purportedly', 'want', 'take', 'cost', 'living', 'increasing', 'priority', 'see', 'cost', 'increase', 'going', 'current', 'government', 'could', 'lower', 'cost', 'living']",sarc
"['per', 'year', 'last', 'pru', 'prepare', 'minister', 'najib', 'life', 'long', 'last', 'dead', 'man', 'also']",non-sarc
"['budget', 'deceive', 'people']",non-sarc
"['yes', 'come', 'testicles', 'budget', 'head', 'throat', '???', 'minister', 'like', 'people', 'oppose', 'friends', 'go', 'wild', 'animals', '???people']",non-sarc
"['good', 'budget', 'budget', 'budget', 'glorious', 'last', 'good', 'person', 'profit']",sarc
['unjust'],sarc
"['gratitude', 'national', 'line']",non-sarc
"['sabah', 'remember', 'people', 'eat', 'stones']",sarc
"['haha', 'increase', 'salary', 'goods', 'transport', 'went', 'also']",sarc
"['salleh', 'keruak', 'noise', 'know', 'jackass', 'got', 'flatter', 'minister', 'najib']",non-sarc
"['rm', 'even', 'rm', 'government', 'peninsula', 'rm', 'songok']",non-sarc
"['direct', 'line']",non-sarc
"['stupid', 'stupid']",non-sarc
"[""i'm"", 'still', 'satisfied', 'public', 'transport', 'also', 'increasingly', 'dry', 'gst', 'sabah', 'sarawak', 'barisan', 'nasional', 'najib', 'link', 'main', 'suction', 'stamp', 'fuck']",non-sarc
['eat'],sarc
"['peninsula', 'example', '-', 'sabah', 'sarawak', 'examples', 'thought', 'thinks', 'understand', 'differentiate', 'transmission', 'purchase', 'price', 'suck', 'suck', 'money', 'live', 'oil', 'gst', 'household', 'necessities']",non-sarc
"['foolish', 'minister']",sarc
"['salary', 'salary', 'peninsula,', 'sabah', 'sarawak', 'must', 'also', 'double', 'standard', 'malaysia', 'said', 'one', 'accord', 'sabah', 'sarawak', 'minister', 'quietly', 'hate', 'people', 'sabah', 'sarawak', 'stamp']",sarc
"[""you're"", 'good', 'old', 'foreigners', 'salary', 'rise']",sarc
"['sabah', 'sarawak', 'chapter', 'others', 'hear', 'peninsula', 'shrimp', 'paste']",sarc
"['sabah', 'sarawak', 'use', 'money']",sarc
['useless'],sarc
"['remember', 'people', 'want', 'live', 'kah', 'bangang']",sarc
"['national', 'line', 'national', 'line', 'ahlul', 'wait', 'dead']",non-sarc
"['pig', 'adjusted', 'basis', 'sabah', 'sarawak', 'pay', 'high', 'prices', 'argan', 'appeal', 'sarawak', 'peninsula', 'major', 'contributor', 'economy', 'malaysia', 'fair', 'n', 'square', 'ask', 'pigs']",non-sarc
"['looks', 'sabah', 'sarawak', 'children', 'tirikan', 'two', 'states', 'large', 'contributor', 'government', 'revenue']",sarc
"['buying', 'goods', 'online', 'peninsular', 'sabah', 'sarawak', 'postage', 'pm', 'claim', 'jackass', 'article']",sarc
['thank'],non-sarc
"['sabah', 'sarawak', 'cost', 'living', 'higher', 'price', 'goods', 'already', 'expensive']",non-sarc
"['malaysia', 'money', 'equal', 'amount', 'haha']",sarc
"['remember', 'great', 'current', 'economic', 'situation', 'people', 'pay', 'salary', 'indonesia']",sarc
"['last', 'year', 'yet', 'enforce', 'government', 'let', 'witness', 'lies']",non-sarc
"['rm', 'peninsula', 'sabah', 'sarawak', 'labuan', 'rm', 'price', 'goods', 'know', 'expensive', 'ssl', 'pesky', 'pigs', 'testicles', 'testicles', 'penis', 'gonna', 'pay', 'ssl', 'pig', 'testicles', 'easily', 'unlucky', 'bastard', 'simak']",non-sarc
"['thanks', 'also', 'grateful', 'salary', 'even', 'little', 'bit', 'money', 'thanks', 'nrr', 'tofu', 'cakes', 'amine']",non-sarc
"['rm', 'relevant', 'well']",sarc
"['r', 'life', 'cheated']",sarc
"['sabah', 'sarawak', 'salary', 'waiting', 'tirikan', 'august', 'foolish', 'crazy', 'sal', 'february', 'alone']",non-sarc
"['le', 'mc', 'still', 'enough', 'expensive', 'child', 'quite', 'thousand', 'people', 'today', 'expensive']",non-sarc
"[""i'm"", 'peninsula', 'think', 'fair', 'salaries', 'sabah', 'sarawak', 'rm', 'good', 'work', 'significantly', 'stranger', 'came', 'near', 'malaysia', 'borg', 'rich']",non-sarc
"['salaries', 'increased', 'employee', 'productivity', 'increase', 'dairy', 'put', 'day']",non-sarc
"['difference', 'rm', 'alg', 'rm', 'lha', 'puii']",non-sarc
"['right', 'sabah', 'sarawak', 'peninsula', 'seemed', 'biased']",non-sarc
"['people', 'fooled', 'peninsula', 'sabah', 'sarawak', 'fooled', 'much', 'haha']",sarc
"['sabah', 'sarawak', 'expensive', 'salary', 'nearby', 'fool', 'najib']",non-sarc
"['satisfied', 'state', 'sabah', 'sarawak', 'us', 'live', 'sskm']",non-sarc
"['unfair', 'weighing', 'barisan', 'nasional', 'leaders', 'sided', 'puii', 'songok']",sarc
"['swine', 'government', 'sarawak', 'sabah', 'government', 'also', 'oppose', 'direct', 'pig']",non-sarc
"['state', 'government', 'lopsided', 'goods', 'sabah', 'sarawak', 'n', 'silver', 'expensive', 'private', 'homes', 'far', 'back', 'right', 'good', 'prices', 'across', 'country', 'align', 'salary', 'increase', 'due', 'equal', 'right']",non-sarc
"['sabah', 'sarawak', 'labuan', 'remember', 'cost', 'living', 'high,', 'especially', 'labuan', 'kah', 'oil', 'gas', 'know', 'expensive']",non-sarc
"['sarawak', 'sabah', 'long', 'stepchildren', 'umno', 'salary', 'also', 'vary', 'marketing', 'strong', 'example', 'actual', 'toll', 'free', 'cottage', 'right', 'free', 'close', 'properly', 'payable', 'titled', '???', 'free', '???the', 'people', 'sarawak', 'sabah', 'know', 'high', 'school', 'excited', 'grateful', 'print', 'umno', 'vote', 'national', 'front', 'perhaps', 'also', 'good', 'difference', 'peninsula', 'peninsula', 'restrictions', 'sabah', 'nak', 'kena', 'identification', 'card', 'wide', 'range', 'overseas', 'right']",sarc
['lot'],sarc
"['rm', 'clever', 'budget', 'budget', 'know', 'value', 'waste', 'matter', 'cent', 'coin', 'want', 'pay', 'gst', 'haha']",sarc
['bias'],sarc
['fair'],non-sarc
"['haha', 'contrast,', 'domestic', 'large', 'contributor', 'federal', 'government']",sarc
"['sabah', 'sabean', 'want', 'manage', 'country', 'singapore']",non-sarc
"['type', 'house', 'prices', 'najib', 'also', 'peninsula', 'sabah', 'sarawak', 'different', 'kinds', 'dementia']",sarc
"['also', 'wants', 'raise', 'money', 'pay', 'gst', 'fool']",non-sarc
"['puii', 'good', 'need', 'say', 'malaysia', 'equally']",sarc
"['pru', 'sabah', 'sarawak', 'subdivided', 'parliament', 'umno', 'barisan', 'nasional', 'haha']",sarc
"['salary', 'sabah', 'sarawak', 'pathetic', 'center', 'peninsula', 'little', 'broom', 'match', 'advance', 'national', 'line', 'vote', 'haha']",sarc
"['folded', 'n', 'umno', 'barisan', 'nasional', 'later', 'pru', 'haha', 'helping', 'people', 'people', 'gave', 'load', 'sabah', 'sarawak', 'n', 'use', 'malaysian', 'peninsula', 'salary', 'young', 'people', 'fed', 'sabah', 'sarawak', 'n', 'know', '-go']",sarc
"['sync', 'whether', 'sabah', 'different', 'class', 'citizens', 'brain', 'goes', 'najib']",sarc
"['increase', 'salary', 'shall', 'thousand', 'thousand', 'half', 'well', 'cost', 'living', 'equal', 'people', 'remember', 'employer', 'gonna', 'cover', 'wage', 'increases', 'would', 'charge', 'car', 'service', 'increase', 'transportation', 'costs', 'raise', 'cost', 'price', 'goods', 'take', 'little', 'one', 'two', 'matter', 'already', 'factory', 'think', 'already', 'raise', 'service', 'charge', 'sell']",non-sarc
"['sabah', 'sarawak', 'wearing', 'loincloths', 'anymore', ""it's"", 'kind', 'salary']",sarc
"['still', 'exists', 'difference', '???the', 'minimum', 'salary', 'borneo', 'class']",non-sarc
"['najib', 'bangang', 'main', 'bandits', 'somehow', 'minimum', 'wage', 'know', 'studies']",non-sarc
"['makes', 'thousand', 'stupid']",sarc
"['unfair', 'wages', 'eating', 'rice', 'also']",sarc
"['gst', 'pay', 'equal', 'pay', 'equal', 'pay', 'exactly', 'oil', 'wages', 'equal', 'said', 'malaysia', 'ass', 'kind', 'synchronize']",non-sarc
"['sabah', 'sarawak', 'barisan', 'nasional', 'najib', 'support', 'made', 'us', 'different', 'dignity', 'stamp']",sarc
"['pay', 'peninsula', 'equal', 'salary', 'sabah', 'sarawak', 'labuan', 'prices', 'goods', 'place', 'expensive', 'peninsula']",non-sarc
"['salary', 'increase', 'whatever', 'bad', 'business']",sarc
"['first', 'government', 'najib', 'fair', 'either', 'eat', 'unequal', 'salaries']",sarc
['ghosts'],non-sarc
"['rm', 'big', 'want', 'compare', 'cost', 'living', 'gonna', 'suck', 'article', 'meager', 'increase']",sarc
"['said', 'low', 'salaries', 'le', 'goods', 'sabah', 'sarawak', 'peninsula', 'expensive', 'bit', 'order', 'another', 'way', 'ss', 'pay', 'little', 'bit', 'contact', 'nothing', 'whatever', 'take', 'little']",sarc
"['understand', 'sabah', 'sarawak', 'minimum', 'wage', 'equal', ""peninsula's"", 'low-sabah', 'sarawak', 'also', 'removed', 'gst', 'gst', 'sabah,', 'sarawak']",non-sarc
"['plant', 'already', 'far', 'behind', 'ape', 'government', 'pay']",sarc
"['housewives', 'indonesia', 'given', 'minimum', 'wage', 'travel', 'passes', 'borne', 'employer', 'alone', 'locals', 'salary', 'lower', 'housewives', 'seem', 'puppet', 'seized']",sarc
"['keep', 'umno', 'sabah', 'sarawak', 'n', 'sm', 'flatterers', 'vote', 'sake']",sarc
"['clever', 'game']",sarc
"['minimum', 'wage', 'sufficient', 'swamp', 'gst', 'n', 'oil', 'prices', 'rise', 'oil', 'alone', 'rising', 'people', 'remember', 'sending', 'goods', 'transport', 'oil', 'costs', 'increase']",non-sarc
"['higher', 'minimum', 'wage', 'thailand', 'huh', 'although', 'high', 'wages', 'bit', 'sorry', 'poor', 'people', 'malaysia', 'leader', 'like']",sarc
"['august', 'start', 'february', 'gst', 'april', 'already']",sarc
"['expensive', 'goods', 'sabah', 'bah', 'bias']",non-sarc
"['puii', 'want', 'eat', 'close', 'kl', 'objects', 'say', 'much', 'wait', 'pru', 'malaysians,', 'let', 'us', 'together', 'togetherness', 'cross', 'pass', 'life', 'hadi', 'awang']",non-sarc
"['minimum', 'wage', 'head', 'mother', 'already', 'one', 'thousand', 'kinds', 'bangladesh', 'already', 'want', 'live', 'wages', 'like']",sarc
"['vote', 'seen', 'nationally', 'line', 'umno', 'sabah', 'malaysia', 'sarawak', 'pure', 'reason', 'umno', 'faction', 'fun', 'rights', 'states', 'sabah', 'sarawak', 'fate', 'needed', 'time', 'alone', 'lifeline', 'neck', 'level']",sarc
"['sabah', 'sarawak', 'people', 'know', 'pain', 'sidelined', 'country', 'concept', 'malaysia', 'sabah', 'sarawak', 'open', 'eye']",sarc
"['rm', 'year', 'rmx', 'month', '=', 'rm', 'thank', 'sir', 'fixed', 'jib', 'ss', 'stepson', 'mu', 'expensive', 'goods', 'cheaper', 'wages', 'ss', 'ss', 'ss', 'tail', 'malaysia', 'donated', 'lot', 'child', 'one', 'accord', 'malaysia', 'sarawak']",sarc
"['sabah', 'sarawak', 'suppressed', '???this']",non-sarc
"['najib', 'head', 'testicles', 'unfair', 'barisan', 'nasional', 'wretched']",non-sarc
"['jackass', 'pm', 'last', 'year', 'general', 'minimum', 'wage', 'rm', 'year', 'anyway', 'rm']",sarc
"['blame', 'government', 'claiming', 'right', 'referendum', 'thought', 'people', 'want', 'come', 'malaysia', 'sarawak', 'people', 'opt', 'dah']",non-sarc
"['semester', 'malaysia', 'rose', 'thousand', 'talk', 'minister', 'ooi', 'saw', 'skt', 'private', 'job', 'long', 'working', 'increase', 'many', 'try', 'debated', 'annual', 'rise', 'private', 'sector', 'workers', 'mean', 'else', 'ok', 'right', 'things', 'toll', 'also', 'rose', 'price', 'ooi', 'najib', 'countdown', 'disgusted', 'saw']",sarc
"['fortunately', 'foreigners']",sarc
"['enough', 'rm', 'living', 'urban', 'goods', 'rental', 'cars', 'expensive', 'eat', 'drink', 'rm', 'quite', 'live', 'directly', ""city's"", 'current', 'value', 'rm', 'rm', 'buy', 'snacks', 'child', 'runs', 'money', 'smaller', 'malaysia']",sarc
"['najib', 'scope', 'okay', 'bye']",sarc
"['gst', 'equal', 'malaysian', 'peninsula', 'higher', 'minimum', 'salary', 'borneo', 'biased', ""today's"", 'leaders', 'must', 'peninsula']",non-sarc
"['sabah', 'sarawak', 'rm', 'prices', 'goods,', 'especially', 'expensive', 'food', 'kitchen', 'goods']",non-sarc
"['nthis', 'pay', 'gst', 'equal', 'price', 'goods', 'expensive', 'chapters', 'want', 'pay', 'equal', 'gst', 'case', 'want', 'pay', 'salary', 'equal', 'want', 'national', 'armies', 'made', 'lives', 'thousands', 'beehive', 'hair', 'also', 'weii']",sarc
"['ooi', 'many', 'kinds', 'crazy', 'pay', 'even', 'support', 'najib', 'pay', 'child', 'goes', 'home', 'car', 'body', 'correct', 'songok']",sarc
"['sabahan', 'matter', 'sarawakians', 'still', 'like', 'cross', 'national', 'lines', 'let', 'go', 'anything']",sarc
"['thanks', 'dsn']",non-sarc
"['kesiannya', 'sabah', 'sarawak', 'dah', 'lah', 'expensive', 'goods', 'near', 'low', 'salary', 'hmmm']",sarc
"['rm', 'dah', 'dah', 'salaries', 'rise', 'right', 'behind']",sarc
"['najib', 'evidence', 'bright', 'children', 'tirikan', 'ss', 'peninsula', 'kind', 'comment', 'najib']",non-sarc
"['rm', 'aid', 'match', 'booger']",sarc
['fair'],non-sarc
"['situation', 'little', 'foreign', 'us', 'malaysians', 'basic', 'outsiders', 'remain', 'outsiders', 'malaysians', 'first', 'right', 'back', ""people's"", 'first', 'daughter', 'sitting', 'country', 'difference', 'salary', 'foreigners']",sarc
"['sabah', 'sarawak', 'rank', 'officer', 'rank', 'clerks', 'peninsula', 'salary']",non-sarc
"['signal', 'vote', 'barisan', 'nasional', 'bury', 'national', 'ranks', 'next', 'pru']",sarc
"['sabah', 'sarawak', 'labuan', 'wp', 'significant', 'new', 'rm', 'salary', 'haha', 'banar', 'favor', 'malaysia', 'poop']",non-sarc
"['really', 'wonder', 'difference', 'government', 'sabah', 'sarawak', 'peninsular', 'malaysia', 'salary', 'levels', 'also', 'value', 'differentiated', 'salaries', 'paying', 'income', 'tax', 'gst', 'value', 'claimed', 'sabah', 'sarawak', 'think', 'rock', 'kah']",sarc
"['good', 'malaya', 'sarawak', 'sabah', 'scales', 'biased']",sarc
"['note', 'state', 'sits', 'tree', 'wearing', 'loincloths', 'reason', 'small', 'salary', 'story', 'wait', 'gonna']",sarc
"['difference', 'peninsula', 'sabah', 'sarawak', 'must', 'difference', 'salary', 'know', 'brain', 'pm']",sarc
"['head', 'testicles', 'pack', 'unlucky', 'minister', 'peninsula', 'favor', ""child's"", 'eyes', 'open', 'sarawak']",non-sarc
"['remembered', 'government', 'raise', 'minimum', 'wage', 'rm', 'think', 'government', 'foolish', 'wise', 'actually', 'pay', 'epf', 'also', 'increased', 'age', 'new', 'year', 'take', 'epf', 'take', 'money', 'government', 'able', 'settle', 'debts', 'using', 'money', 'epf']",non-sarc
"['compared', 'prices', 'goods', 'sabah', 'sarawak', 'n', 'peninsula', 'peninsula', ""it's"", 'n', 'peninsula', 'salary', 'higher', 'sabah', 'sarawak', 'result', 'many', 'came', 'sabah', 'sarawak', 'fair']",non-sarc
"['sabah', 'minister', 'dared', 'speak', 'flatter', 'name', 'malaysia', 'wages', 'line', 'peninsula']",sarc
"['sabah', 'sarawak', 'umno', 'haha']",sarc
"['also', 'pay', 'adjusted', 'tax', 'sabah', 'sarawak', 'malaysia', 'said', 'sesame', 'sesame']",sarc
"['bamboo', 'select', 'correct', 'print', 'jobs', 'sabah', 'rm', ""ringgit's"", 'rise', 'peninsula', 'rm', 'ringgit', 'far', 'difference', 'fair']",non-sarc
"['ably', 'taut', 'create', 'strong', 'law', 'enforcement', 'dust', 'shall', 'make', 'similar', 'law', 'already', 'anything', 'asked', 'directly', 'dependent', ""company's"", 'motion']",sarc
"['anyway', 'goods', 'sabah', 'peninsula', 'expensive', 'salary', 'small', 'bag', 'weii', 'correct', 'double', 'standard']",non-sarc
"['sabah', 'stepdaughter', 'stamp']",sarc
"['stupid', 'sabah', 'sarawak', 'labuan', 'sabah', 'peninsula', 'went', 'see', 'price', 'goods', 'peninsula', ""there's"", 'metro', 'newspaper', 'expensive', 'haha', 'close', 'ask', 'small', 'salary', 'indo', 'continue', 'meeting', 'looks', 'biased']",sarc
"['even', 'private', 'employers', 'remain', 'close', 'klg', 'indonesia', 'take', 'profit', 'work', 'free', 'boarding', 'dock', 'clean', 'basic', 'malaysians', 'also', 'stepson']",sarc
"['differences', 'prices', 'goods', 'expensive', 'near', 'delivery', 'charge', 'fortunately', 'sabah', 'sarawak', 'najib', 'win', 'peninsula', 'fish', 'lives', 'stay']",sarc
"['haha', 'nice', 'kid', 'played', 'fun', 'little', 'pouch', 'much', 'money', 'people']",sarc
"['malaysia', 'tuft', 'brain', 'equally', 'tell', 'difference', 'anyway']",sarc
"['correct', 'sabah', 'sarawak', 'labuan', 'salary', 'sitting', 'kl', 'already', 'quite', 'like', 'inister', 'guys', 'remember', 'elections', 'later', 'swear', 'properly', 'inister', 'indonesian', 'minister', 'ask', 'maid', 'considered', 'malaysians', 'working', 'morning', 'night', 'difficult', 'salaries', 'kind', 'useless', 'right']",sarc
"['remember', 'crazy', 'sabah', 'sarawak', 'oil', 'earned', 'right', 'eat', 'rice', 'motherfucker', 'choke', 'budget', ""you're"", 'sitting', 'sabah', 'months', 'minimum', 'wage', 'rm', 'think', ""you're"", 'dead', 'cursed', 'bad', 'government']",non-sarc
"['discrimination', 'borneo', 'gst', 'less', 'borneo', 'also', 'pay', 'amount', 'puii']",non-sarc
"['somehow', 'ok', 'lah', 'lah']",sarc
"['sabah', ""sarawak's"", 'salary', 'kesiannya', 'expensive', 'stuff', 'right', 'peninsula', 'sigh']",sarc
"['worse', ""company's"", 'new', ""employer'm"", 'awful', 'go', 'pay', 'salary', 'workers', 'grow', 'go', 'forward,', 'go', 'forward', 'another', 'story', 'proper', 'mechanism', 'pretty']",non-sarc
"['august', 'else', 'go', 'new', 'year', 'pack', 'jib', 'continue', 'talking', 'awl', 'year']",sarc
"['peninsula', 'sabah', 'sarawak', ""what's"", 'difference', 'line', 'sarawak', 'sabah', 'sarawak', 'even', 'greater', 'cost', 'peninsula', 'malaysia', 'said', 'servile', 'puppet', 'buffalo']",sarc
"['asked', 'minister', 'salary', 'one', 'thousand', 'docking', 'experiments', 'rent', 'bill', 'schoolchildren', 'eat', 'drink', 'various', 'motor', 'mistake', 'able', 'buy']",sarc
"['malaysia', 'malaysia', 'salary', 'less', 'matter', 'well-made', 'meal', 'purchase', 'money', 'would', 'pay', 'puii']",sarc
"['want', 'adjusted', 'sabah', 'sarawak', 'malaysia']",non-sarc
"['dusk', 'strange', 'true']",sarc
"['borneo', ""minister'm"", 'happy', ""it's"", 'important', 'sabah', 'sarawak', 'fooled', 'certain', 'tricks', 'agenda', 'pirates']",sarc
"['kind', 'unfair', 'correct', 'salary', 'sarawak', 'sabah', 'one', 'month', 'may', 'kind', 'sarawak', 'sabah', 'mostly', 'come', 'sweat', 'people', 'also', 'want', 'advance', 'country', 'also']",non-sarc
"['najib', 'easier', 'said', 'done', 'like', 'giddy', 'ride', 'employers', 'continue', 'cover', 'xpasal', 'haha']",sarc
"['thousand', 'going', 'eat', 'expensive', 'items', 'gst', 'day', 'pay', 'every', 'time', 'shop', 'rent', 'cheapest', 'rm', 'thing', 'stupid', 'motherfucker', 'jackass', 'pm', 'pay', 'twenty', 'thousand', 'enough', 'robbery', 'money', 'people', 'country', 'people', 'thousand', 'two', 'three', 'jobs', 'day', 'enough', 'state', 'expensive', 'present', 'sense', 'pm', 'park', 'seems', 'tail', 'rosmah']",non-sarc
"['hoi', 'result', 'sabah', 'sarawak', 'want', 'take', 'playing', 'sabah', 'sarawak', 'win', 'votes', 'back', 'also', 'include', 'cost', 'living', 'sabah', 'sarawak', 'expensive', 'shipping', 'goods', 'tax', 'expensive,', 'people', 'sabah', 'sarawak', 'say', 'also', 'change', 'also']",non-sarc
"['indonesian', 'maid', 'minimum', 'wage', 'demand', 'right', 'shame']",sarc
"['patiently', 'provisions', 'god', 'haha']",sarc
"['silly', 'boy', 'age', 'experience', 'need', 'live', 'salaries', 'stupid', 'idiot', 'drinks']",non-sarc
"['budget', 'line', 'sabah', 'sarawak', 'peninsula', 'rm']",sarc
"['private', 'sector', 'continue', 'stoned', 'bankrupt', 'point']",sarc
"['last', 'item', 'expensive', 'salaries', 'gone', 'even', 'stuff']",sarc
"['indonesian', 'maid', 'happy', 'ask', 'locals', 'minimum', 'wage', 'minister', 'wooden', 'blind']",sarc
"['many', 'crazy', ""rm's""]",sarc
['trick'],sarc
"['chat', 'minimal', 'coordination', 'useless']",sarc
"['foolish', 'think', 'federal', 'government', 'sabah', 'sarawak', 'cheap', 'kah', 'tax', 'dahlah', 'expensive', 'goods', 'cross', 'brain', 'indeed', 'foolish', 'knee']",non-sarc
"['difference', 'peninsula', 'sabah', 'sarawak', 'malaysia', 'reputedly']",sarc
"['minimum', 'wage', 'private', 'sector', 'wiped', 'mat', 'myanmar', 'nepal', 'vietnam', 'bangladesh', 'puii']",sarc
"['need', 'kind', 'double', 'standard', 'n', 'sabah', 'sarawak', 'malaysia']",sarc
"['many', 'foreigners', 'want', 'enter', 'malaysia', 'salary', 'equal', 'citizens', 'malaysians', 'work', 'filled', 'congratulations', 'malaysia', 'foreign', 'nationals']",sarc
"['little', 'enough']",sarc
"['budget', 'began', 'august', 'ye', 'reason', 'first', 'quotation', 'gst', 'haha']",sarc
"['terbaiklah', 'dato', 'dato', 'najib', 'still', 'support', 'najib']",non-sarc
"['profit', 'start', 'basic', 'work', 'new', 'job', 'hold', 'basic', 'haha']",non-sarc
"['malaysia', 'wages']",sarc
"['new', 'jobs', 'wait', 'august', 'government', 'luck', 'tomorrow', 'already', 'lah', 'nak', 'start', 'ooi']",sarc
"['gah', 'cymbal', 'malaysia', 'would', 'become', 'developed', 'nation', 'millions', 'years', 'still', 'receive', 'salaries', 'ringgit', 'advanced', 'useless']",sarc
"['sabah', 'sarawak', 'labuan', 'gst', 'already', 'article', 'vote', 'sabah', 'sarawak', 'haish', 'unfair']",non-sarc
"['stupid', 'enough', 'cost', 'living', 'high', 'rice', 'goods', 'oil', 'right', 'gst', 'minister', 'minister', 'print', 'stupid', 'motherfucker']",sarc
"['najib', 'remember', 'sarawakian', 'parents', 'eat', 'noodles', 'every', 'day', 'kah', 'mentang', 'mi', 'gst', 'parents', 'salary', 'min', 'sabah', 'sarawak', 'lower', 'compared', 'peninsula', 'malaysia', 'said', 'one', 'scales', 'evenly', 'national', 'lines']",sarc
"['pesky', 'pigs', 'passionate', 'public', 'employees', 'raise', 'pigs', 'indeed', 'unlucky']",non-sarc
"['minimum', 'wage,', 'too,', 'dream']",sarc
"['select', 'sabah', 'sarawak,', 'biggest', 'contributor', 'government', 'vote', 'umno', 'sabah', 'sarawak', 'donor', 'terms', 'high', 'finance', 'income', 'pay', 'sabah', 'sarawak', 'labuan', 'low', 'stupid']",sarc
"['minister', 'know', 'cost', 'living', 'near', 'sabah', ""sarawak's"", 'like', 'kl', 'synchronize']",sarc
"['tune', 'sarawak', 'sabah', 'labuan', 'going', 'right', 'stepchild', 'malaysia', 'najib']",sarc
"['sabah', 'sarawak', 'sin', 'always', 'government', 'sidelined', 'songok']",sarc
"['malaysia', 'goals', 'nation', 'state,', 'sabah', 'sarawak', 'given', 'standard', 'double', '???', '???in', 'malaysia']",sarc
