comment_mly,sarc_majority
"['mcm', 'berat', 'sebelah', 'je']",sarc
['adil'],non-sarc
"['hahahahahah', 'napa', 'bezakan', 'maka', 'negeri', 'penyumbang', 'besar', 'utk', 'kerajaan', 'pusat']",sarc
"['sabah', 'sabahan', 'kami', 'singapore', 'urus', 'negara', 'sendiri']",non-sarc
"['harga', 'rumah', 'cemana', 'pulak', 'najib', 'kenapa', 'berbeza', 'semenanjung', 'sabah', 'sarawak', 'macam', 'nyanyuk', 'je']",sarc
"['naik', 'gaji', 'nak', 'bayar', 'dgn', 'duit', 'gst', 'bodoh']",non-sarc
"['puiii', 'baik', 'xpayah', 'kata', 'malaysia', 'bagi', 'la', 'sama', 'rata']",sarc
"['pru', 'sabah', 'serawak', 'dipecah', 'mjadi', 'parlimen', 'menang', 'umno', 'bn', 'hahaha']",sarc
"['gaji', 'xsama', 'sebab', 'org', 'sabah', 'serawak', 'lebih', 'bangang', 'org', 'semenanjung', 'hasil', 'pusat', 'sapu', 'bagi', 'sechiput', 'padan', 'muka', 'undi', 'bn', 'lagi', 'hahaha']",sarc
"['gulung', 'tikar', 'la', 'bn', 'n', 'umno', 'nti', 'pru', 'hahahaahha', 'ni', 'bkn', 'tlg', 'rkyt', 'tp', 'kc', 'beban', 'rkyt', 'sbh', 'n', 'srwk', 'pa', 'gna', 'satu', 'malaysia', 'gaji', 'tk', 'sama', 'ngn', 'smjung', 'skrg', 'org', 'muda', 'sbh', 'n', 'srwk', 'da', 'muak', 'tw', 'p']",sarc
"['knapa', 'selaraskan', 'knapa', 'berbeza', 'adakah', 'sabah', 'warga', 'negara', 'kelas', 'mna', 'perginya', 'otak', 'najib']",sarc
"['upkan', 'gaji', 'jd', 'seribu', 'seribu', 'setengah', 'sama', 'gak', 'kos', 'sara', 'hidup', 'sama', 'naik', 'korang', 'ingat', 'kat', 'majikan', 'ni', 'nak', 'cover', 'kenaikan', 'gaji', 'pekerja', 'mereka', 'tentulah', 'caj', 'perkhidmatan', 'kereka', 'nanti', 'naik', 'kos', 'pengangkutan', 'naikan', 'kos', 'harga', 'barang', 'naiklah', 'sikit', 'sorang', 'dua', 'xpa', 'tp', 'dah', 'satu', 'kilang', 'sendiri', 'fikirlah', 'aku', 'aku', 'naikkan', 'caj', 'perkhidmatan', 'yg', 'aku', 'jual']",non-sarc
"['soo', 'sabah', 'sarawak', 'pakai', 'cawat', 'llagii', 'la', 'dah', 'gaji', 'mcm', 'ne']",sarc
"['wujud', 'perbezaan', 'gaji', 'minimum', 'rakyat', 'borneo', 'ne', 'kelas']",non-sarc
"['bangang', 'punya', 'najib', 'penyamun', 'main', 'letak', 'je', 'gaji', 'minimum', 'ntah', 'dia', 'kajian', 'tak', 'tahu']",non-sarc
"['la', 'ni', 'seribu', 'bkin', 'bodoh']",sarc
"['tk', 'adl', 'gji', 'tk', 'sma', 'sma', 'mkn', 'nsi', 'gak']",sarc
"['bayar', 'gst', 'sama', 'bayar', 'minyak', 'sama', 'bayar', 'tol', 'sama', 'tapi', 'knapa', 'gaji', 'x', 'sama', 'kata', 'malaysia', 'cibai', 'cm', 'ni', 'selaraskan', 'je', 'la', 'skali']",non-sarc
"['org', 'sabah', 'sarawak', 'sokong', 'lg', 'bn', 'najib', 'dia', 'kita', 'xde', 'maruah', 'jauh', 'bezanya', 'kita', 'ngan', 'malaya']",sarc
"['gaji', 'semenanjung', 'sama', 'dgn', 'gaji', 'serawak', 'sabah', 'labuan', 'sedangkan', 'harga', 'barangan', 'tmpat', 'ini', 'lbih', 'mhal', 'dp', 'smenanjung']",non-sarc
"['gaji', 'naik', 'tapi', 'bisnes', 'teruk', 'ntah', 'apo']",sarc
"['dlu', 'kerajaan', 'dibawah', 'pimpinan', 'najib', 'adil', 'sama', 'makan', 'jg', 'gaji', 'x', 'sama', 'rata']",sarc
"['hantu', 'jembalang']",non-sarc
"['besar', 'sgat', 'lah', 'rm', 'tu', 'nk', 'dibandingkan', 'dgn', 'cost', 'living', 'skrg', 'dah', 'lah', 'tkyah', 'nak', 'ulang', 'psal', 'kenaikan', 'yg', 'tak', 'seberapa', 'tu']",sarc
"['kata', 'm', 'sooo', 'ngaper', 'sana', 'gaji', 'rendah', 'dh', 'le', 'brng', 'sabah', 'sarawak', 'mahal', 'sikit', 'dri', 'semenanjung', 'order', 'ada', 'plak', 'charhe', 'lain', 'utk', 's', 's', 'patut', 'gaji', 'sana', 'la', 'kena', 'lebih', 'sikit', 'ntah', 'apa', 'sikit', 'ambil', 'banyak']",sarc
"['saya', 'tak', 'paham', 'knapa', 'sabh', 'srawak', 'gaji', 'minimum', 'tak', 'semarata', 'kat', 'semananjung', 'klu', 'bgeni', 'sabah', 'srwsk', 'rendah', 'gst', 'hapuskan', 'gst', 'sabah', 'sarawak']",non-sarc
"['kilang', 'aku', 'da', 'jauh', 'ketinggalan', 'da', 'ko', 'kera', 'jaan', 'patut', 'skrg', 'gaji', 'smua', 'bkn']",sarc
"['suri', 'rumah', 'indon', 'diberi', 'gaji', 'minimum', 'sdangkan', 'pas', 'pejalanan', 'mereka', 'ditanggung', 'majikan', 'sendiri', 'gaji', 'rakyat', 'tempatan', 'sendiri', 'lebih', 'rendah', 'suri', 'rumah', 'nampak', 'wayang', 'disitu']",sarc
"['kekalkan', 'umno', 'sabah', 'n', 'serawak', 'mp', 'yg', 'anda', 'undi', 'pembodek', 'utk', 'kepentingan', 'sendiri']",sarc
"['pandai', 'pemainan', 'nye']",sarc
"['tak', 'paya', 'ada', 'gaji', 'minimum', 'cukupla', 'tiada', 'gst', 'n', 'harga', 'minyak', 'tak', 'naik', 'minyak', 'naik', 'ja', 'ada', 'barang', 'turut', 'naik', 'diorang', 'ingat', 'transport', 'antar', 'barang', 'tdk', 'guna', 'minyak', 'ka', 'kos', 'makin', 'bertambah']",non-sarc
"['gaji', 'minimun', 'thailand', 'tinggi', 'huh', 'kita', 'ni', 'gaji', 'tinggi', 'sikit', 'tapi', 'kasihan', 'orang', 'lain', 'malaysia', 'malaysia', 'malang', 'ada', 'pemimpin', 'ni']",sarc
"['julai', 'knp', 'pula', 'x', 'mula', 'januari', 'gst', 'dri', 'april', 'lg', 'itu', 'ini', 'dh', 'naik']",sarc
"['barang', 'sabah', 'mahal', 'bah', 'berat', 'sebelah']",non-sarc
"['phuiii', 'ko', 'sana', 'nak', 'mkn', 'dgn', 'kt', 'kl', 'ni', 'semua', 'benda', 'naik', 'xpayah', 'ckp', 'byk', 'tunggu', 'je', 'pru', 'ni', 'kpd', 'rakyat', 'malaysia', 'mari', 'kita', 'bersama', 'bersatu', 'hati', 'pangkah', 'pas', 'hidup', 'hadi', 'awang']",non-sarc
"['gaji', 'minimum', 'kepala', 'omak', 'ko', 'la', 'la', 'seribu', 'la', 'dah', 'mcm', 'bangla', 'dah', 'nak', 'idup', 'mcm', 'gaji', 'mcm', 'tu']",sarc
"['nampak', 'yg', 'undi', 'bn', 'umno', 'sabah', 'dgn', 'sarawak', 'pure', 'malaysia', 'sbb', 'puak', 'umno', 'sendiri', 'permainkan', 'hak', 'orang', 'sabah', 'sarawak', 'nasib', 'la', 'negeri', 'sana', 'diperlukan', 'time', 'talian', 'hayat', 'paras', 'leher', 'je']",sarc
"['orang', 'sabah', 'sarawak', 'lebih', 'tahu', 'sakitnya', 'dianak', 'tirikan', 'negara', 'sendiri', 'konsep', 'malaysia', 'orang', 'sabah', 'sarawak', 'buka', 'la', 'mata']",sarc
"['bln', 'rm', 'tahun', 'rm', 'x', 'rm', 'tq', 'pak', 'jib', 'ss', 'ttap', 'ank', 'tiri', 'mu', 'barg', 'mhal', 'utk', 'ss', 'tp', 'gaji', 'murah', 'utk', 'ss', 'eko', 'mlysia', 'ss', 'yg', 'byk', 'mnyumbangkn', 'adakh', 'ini', 'mlaysia', 'sehati', 'sejiwa', 'sya', 'ank', 'sarawak']",sarc
"['smp', 'la', 'sbh', 'swk', 'ditindas', 'nie']",non-sarc
"['najip', 'kepala', 'butoh', 'tak', 'adil', 'bn', 'jelakee']",non-sarc
"['bahalul', 'punya', 'pm', 'tahun', 'lepas', 'dia', 'umum', 'gaji', 'minimum', 'rm', 'tahun', 'turun', 'pula', 'jdi', 'rm']",sarc
"['salahkan', 'kitorang', 'tuntut', 'hak', 'refrendum', 'kerajaan', 'x', 'fkir', 'rakyat', 'sarawak', 'nak', 'kluar', 'malaysia', 'kalau', 'diikutkan', 'kitorang', 'keluar', 'dh']",non-sarc
"['knpa', 'sem', 'mlysia', 'naik', 'seribu', 'je', 'ckp', 'ke', 'menteri', 'oiii', 'tgok', 'lh', 'skt', 'org', 'kerja', 'swasta', 'yg', 'dh', 'lama', 'kerja', 'knaikn', 'xbyk', 'cuba', 'bahaskn', 'utk', 'knaikkn', 'tahunan', 'pkerja', 'swasta', 'min', 'brpa', 'lg', 'ok', 'kan', 'brg', 'naik', 'toll', 'naik', 'harga', 'oiii', 'najib', 'undur', 'lh', 'mluat', 'aku', 'tgok', 'kau']",sarc
"['yg', 'untung', 'wrga', 'asing']",sarc
"['cukup', 'rm', 'mereka', 'tinggal', 'bandar', 'barang', 'barang', 'mahal', 'sewa', 'kereta', 'makan', 'minum', 'saya', 'rm', 'langsung', 'tak', 'cukup', 'hidup', 'dibandar', 'rm', 'itu', 'nilainya', 'sekarang', 'rm', 'beli', 'makanan', 'ringan', 'anak', 'habis', 'duit', 'malaysia', 'semakin', 'kecik']",sarc
"['lingkup', 'lah', 'najib', 'kali', 'ini', 'kbye']",sarc
"['gst', 'sama', 'rata', 'satu', 'malaysia', 'gaji', 'minimum', 'semenanjung', 'lebih', 'tinggi', 'dr', 'borneo', 'mmg', 'berat', 'sebelah', 'pemimpin', 'hari', 'ni', 'kenapa', 'lebih', 'semenanjung']",non-sarc
"['cukup', 'rm', 'sabah', 'sarawak', 'harga', 'barang', 'makan', 'mahal', 'terutama', 'barang', 'dapur']",non-sarc
"['ape', 'ni', 'gst', 'kami', 'bayar', 'sama', 'rata', 'harga', 'barang', 'kat', 'sini', 'mahal', 'bila', 'bab', 'bab', 'gaji', 'tak', 'nak', 'sama', 'rata', 'ape', 'kes', 'gst', 'nak', 'nak', 'bayar', 'gaji', 'sama', 'rata', 'taknak', 'bn', 'dah', 'nyawa', 'ikan', 'buat', 'rambut', 'beribu', 'sarang', 'lebah', 'pulak', 'wei']",sarc
"['oiii', 'gila', 'macam', 'bole', 'bayar', 'tu', 'kena', 'sokong', 'najib', 'la', 'lepas', 'ni', 'bole', 'byr', 'kete', 'rumah', 'ank', 'msuk', 'u', 'mcm', 'lg', 'ngokkk']",sarc
"['tak', 'apalah', 'sabahan', 'sarawakian', 'suka', 'pangkah', 'bn', 'biar', 'pi', 'lah', 'bleh', 'apa']",sarc
"['terima', 'kasih', 'dsn']",non-sarc
"['ksiannya', 'org', 'sabah', 'srawak', 'dh', 'la', 'brg', 'kt', 'sna', 'mahal', 'gaji', 'plak', 'rendah', 'hurm']",sarc
"['gaji', 'dh', 'rm', 'dh', 'x', 'naek', 'ke', 'punndek', 'btol', 'lh']",sarc
"['inilah', 'bukti', 'yg', 'terang', 'najib', 'anak', 'tirikan', 'ss', 'semenanjung', 'kita', 'komen', 'najib']",non-sarc
"['rm', 'dibtu', 'korek', 'tahi', 'hidung', 'sahaja']",sarc
"['ini', 'adil']",non-sarc
"['adil', 'la', 'cikit', 'warga', 'asing', 'dgn', 'kita', 'rakyat', 'malaysia', 'basic', 'sama', 'boleh', 'org', 'luar', 'tetap', 'org', 'luar', 'rakyat', 'malaysia', 'yg', 'dulu', 'kan', 'lebih', 'kan', 'rakyat', 'dulu', 'adoi', 'mcm', 'ank', 'tiri', 'pulk', 'duduk', 'negara', 'sendiri', 'gaji', 'tk', 'ada', 'beza', 'dgn', 'warga', 'asing']",sarc
"['sabah', 'sarawak', 'pangkat', 'kerani', 'ja', 'semenanjug', 'pangkat', 'pegawai', 'bole', 'sama', 'gaji']",non-sarc
"['ni', 'signal', 'la', 'utk', 'kita', 'jgn', 'undi', 'bn', 'lagi', 'kuburkan', 'je', 'bn', 'next', 'pru']",sarc
"['kesian', 'lah', 'kita', 'org', 'sabah', 'sarawak', 'wp', 'labuan', 'baru', 'rm', 'gaji', 'ahhhhhhh', 'ketara', 'banar', 'pilih', 'kasih', 'nya', 'ujah', 'malaysia', 'dapattahisaja']",non-sarc
"['saya', 'btl', 'hairan', 'la', 'dgn', 'kerajaan', 'beza', 'sabah', 'sarawak', 'dgn', 'semenanjung', 'malaysia', 'gaji', 'ada', 'taraf', 'ka', 'gaji', 'pulak', 'nilai', 'dibezakan', 'sedangkan', 'bayaran', 'cukai', 'pendaoatan', 'gst', 'sama', 'nilai', 'dituntut', 'kamu', 'pikir', 'sabah', 'sarawak', 'ni', 'batu', 'ka']",sarc
"['tu', 'baik', 'sarawak', 'sabah', 'keluar', 'malaya', 'ja', 'dacing', 'berat', 'sebelah', 'dah']",sarc
"['maklum', 'la', 'kami', 'org', 'sarawak', 'duduk', 'atas', 'pokok', 'pakai', 'cawat', 'sebab', 'itu', 'org', 'gaji', 'kecik', 'kami', 'x', 'kisah', 'punya', 'sabar', 'je', 'la', 'nk', 'mcmmana']",sarc
"['beza', 'org', 'smnjg', 'dgn', 'sbh', 'srwk', 'knpa', 'ada', 'prbezan', 'gaji', 'nda', 'tau', 'ni', 'pm', 'dlm', 'otak', 'dia']",sarc
"['sial', 'kepala', 'butuh', 'pak', 'menteri', 'semenanjung', 'pilih', 'kasih', 'bukak', 'lah', 'mata', 'anak', 'sarawak']",non-sarc
"['tapi', 'ingat', 'kerajaan', 'naikkan', 'gaji', 'minima', 'rm', 'jgn', 'ingat', 'kerajaan', 'tu', 'bodoh', 'sebenarnya', 'mereka', 'bijak', 'gaji', 'naik', 'epf', 'naik', 'umur', 'dah', 'tahun', 'baru', 'amik', 'epf', 'sebelum', 'kita', 'amik', 'duit', 'tu', 'kerajaan', 'mampu', 'melangsaikan', 'hutang', 'dgn', 'menggunakan', 'duit', 'epf']",non-sarc
"['dbandingkan', 'harga', 'barang', 'smnanjung', 'n', 'sabah', 'sarawak', 'smnanjung', 'lgi', 'murah', 'n', 'knpa', 'lh', 'gaji', 'smnanjung', 'lebih', 'tinggi', 'dbandingkan', 'dgn', 'sabah', 'sarawak', 'hasil', 'bnyak', 'datang', 'sabah', 'sarawak', 'perlu', 'adil', 'lah']",non-sarc
"['menteri', 'sabah', 'x', 'dah', 'yg', 'berani', 'bersuara', 'kaki', 'bodek', 'nama', 'jee', 'malaysia', 'tapi', 'gaji', 'x', 'selaras', 'dgn', 'semenanjung']",sarc
"['orang', 'sabah', 'sarawak', 'pakah', 'la', 'lg', 'umno', 'hahaha']",sarc
"['x', 'diselaraskan', 'sabah', 'sarawak', 'bayar', 'cukai', 'kata', 'malaysia', 'bijan', 'bijan']",sarc
"['pilih', 'buluh', 'btul', 'la', 'pm', 'ne', 'gaji', 'sabah', 'cuma', 'rm', 'rggit', 'naik', 'sdkan', 'semenanjung', 'rm', 'rggit', 'jauh', 'nya', 'bezanya', 'ini', 'tak', 'adil']",non-sarc
"['cakap', 'kencang', 'undang', 'kencang', 'enforcement', 'habuk', 'tarak', 'tak', 'guna', 'apa', 'undang', 'pun', 'serupa', 'tak', 'apa', 'tanya', 'bergantung', 'syarikat', 'wayang']",sarc
"['sudahlah', 'brg', 'sabah', 'mahal', 'smnjng', 'gaji', 'pula', 'dia', 'bag', 'kecik', 'weii', 'double', 'standard', 'btl']",non-sarc
"['sabah', 'dianaktiri', 'kan', 'malaya']",sarc
"['bodoh', 'sabah', 'sarawak', 'labuan', 'smenanjung', 'pergi', 'sabah', 'tgk', 'harga', 'barang', 'murah', 'sana', 'smnjg', 'surat', 'khabar', 'metro', 'sana', 'lg', 'mahal', 'hahaha', 'mcm', 'kt', 'sana', 'bole', 'kasi', 'gaji', 'kicik', 'indo', 'terus', 'mesyuarat', 'nmpk', 'sgt', 'berat', 'sebelah']",sarc
"['swasta', 'wlu', 'tp', 'majikan', 'kt', 'klg', 'tetap', 'ambik', 'indon', 'kerja', 'untung', 'la', 'dok', 'asrama', 'free', 'bersih', 'basic', 'rakyat', 'malaysia', 'jugak', 'anak', 'tiri', 'kan']",sarc
"['knp', 'ade', 'perbezaan', 'hrga', 'brg', 'dkt', 'sne', 'lg', 'mahal', 'sbb', 'charge', 'penghntaran', 'dah', 'laa', 'seb', 'baik', 'ade', 'sbh', 'swak', 'je', 'najib', 'leh', 'menang', 'klau', 'kat', 'semenanjung', 'ni', 'nyawa', 'ikan', 'je', 'tinggal']",sarc
"['hahaha', 'bgus', 'lpas', 'ni', 'senang', 'nk', 'pau', 'duit', 'rakyat', 'skitt']",sarc
"['malaysia', 'hotak', 'dia', 'berjangbul', 'la', 'sama', 'rata', 'apa', 'nk', 'beza', 'plk']",sarc
"['kesian', 'btl', 'knpa', 'sabah', 'dn', 'srwk', 'lbuan', 'gji', 'mcm', 'tu', 'duk', 'kl', 'mna', 'ckup', 'mcm', 'tu', 'nape', 'lh', 'mnteri', 'nie', 'guys', 'ingt', 'piliharaya', 'nnti', 'sumpah', 'btl', 'mnteri', 'nie', 'klu', 'menteri', 'indon', 'pmbantu', 'rumah', 'prtimbangkn', 'lg', 'kita', 'nie', 'rkyt', 'msia', 'kja', 'dri', 'pgi', 'smpi', 'mlm', 'ssh', 'dpt', 'gji', 'mcm', 'tu', 'hampeh', 'btl']",sarc
"['gilak', 'ko', 'igt', 'org', 'sabah', 'sarawak', 'telan', 'minyak', 'ndak', 'payah', 'makan', 'nasi', 'bangang', 'ini', 'bajet', 'cok', 'ko', 'duduk', 'sabah', 'bulan', 'gaji', 'minima', 'rm', 'aku', 'rasa', 'mati', 'ko', 'memaki', 'kerajaan', 'sekarang', 'sial']",non-sarc
"['nk', 'diskriminasi', 'org', 'borneo', 'gst', 'tak', 'pula', 'kasi', 'kurang', 'sama', 'org', 'borneo', 'sama', 'byr', 'jumlah', 'yg', 'sama', 'puiii']",non-sarc
"['ok', 'la', 'tpi', 'la']",sarc
"['nape', 'sabah', 'sarawak', 'gaji', 'murah', 'siannye', 'brg', 'sana', 'kan', 'mahal', 'dr', 'semenanjung', 'sigh']",sarc
"['teruk', 'la', 'utk', 'majikan', 'baru', 'company', 'br', 'je', 'bukak', 'dh', 'siksa', 'nk', 'bayar', 'gaji', 'pekerja', 'mcm', 'nk', 'berkembang', 'mcm', 'nk', 'maju', 'dh', 'maju', 'lain', 'cerita', 'lah', 'xde', 'makanisma', 'yg', 'btl', 'cantik', 'la']",non-sarc
"['julai', 'bln', 'ag', 'nk', 'msok', 'thun', 'bru', 'alahai', 'pok', 'jib', 'knp', 'x', 'teruskn', 'ckp', 'awl', 'thun']",sarc
"['semanjung', 'swak', 'sabah', 'bezanya', 'tidk', 'seraras', 'ya', 'itu', 'swak', 'sabah', 'kos', 'swak', 'lbh', 'besar', 'dri', 'semanjung', 'ini', 'kata', 'kan', 'malaysia', 'nya', 'jadi', 'pak', 'turut', 'mcm', 'karabau', 'cucuk', 'hidung']",sarc
"['suruh', 'menteri', 'ujukaji', 'gaji', 'seribu', 'dok', 'bandar', 'dgn', 'sewa', 'rumah', 'bil', 'pelbagai', 'anak', 'sekolah', 'makan', 'minum', 'silap', 'motor', 'x', 'mampu', 'nak', 'beli']",sarc
"['mlysia', 'gaji', 'tk', 'mlysia', 'pn', 'napa', 'kurng', 'sma', 'jg', 'mkn', 'bli', 'pkai', 'duit', 'mo', 'byr', 'suma', 'sma', 'puiii']",sarc
"['tdk', 'adillll', 'kmi', 'sabah', 'sarawak', 'diselaraskn', 'mna', 'mlysia']",non-sarc
"['pundek', 'la', 'plek', 'tp', 'benar']",sarc
"['menteri', 'borneo', 'dh', 'senang', 'penting', 'diri', 'sendiri', 'sbb', 'tu', 'sabah', 'serawak', 'jgn', 'mudah', 'terpedaya', 'setiap', 'agenda', 'ada', 'muslihat', 'tertentu', 'ni', 'lanun']",sarc
"['lh', 'mcm', 'ni', 'x', 'adil', 'btl', 'gj', 'srwk', 'ngn', 'sabah', 'je', 'sbln', 'x', 'mgkn', 'blh', 'mcm', 'ni', 'kbnykan', 'hsl', 'srwk', 'ngan', 'sabah', 'dtg', 'dr', 'titik', 'peluh', 'diaorg', 'jg', 'nak', 'bg', 'mju', 'ngri', 'sdri', 'jg']",non-sarc
"['najib', 'cakap', 'xserupa', 'bikin', 'suka', 'naik', 'majikan', 'pening', 'nanti', 'xpasal', 'tutup', 'terus', 'huhu']",sarc
"['setakat', 'seribu', 'lah', 'ni', 'nak', 'mkn', 'dgn', 'barangan', 'mahal', 'dn', 'gst', 'lg', 'yg', 'hr', 'kena', 'byr', 'kali', 'berbelanja', 'sewa', 'rumah', 'je', 'murah', 'rm', 'lain', 'hal', 'lg', 'bodoh', 'bangang', 'bahlol', 'pm', 'ni', 'dia', 'gaji', 'puluh', 'ribu', 'x', 'cukup', 'rompak', 'duit', 'rakyat', 'dn', 'negara', 'lg', 'rakyat', 'setakat', 'seribu', 'kena', 'dua', 'tiga', 'kerja', 'seharian', 'cukup', 'dgn', 'keadaan', 'barang', 'mahal', 'skrg', 'ni', 'pm', 'ni', 'akal', 'letak', 'kat', 'bontot', 'rosma', 'agaknya']",non-sarc
"['heyyy', 'hasil', 'sabah', 'sarawak', 'kalu', 'maw', 'ambil', 'main', 'sabah', 'sarawak', 'manang', 'undi', 'tapi', 'kami', 'kat', 'belakang', 'juga', 'kalu', 'ikutkan', 'kos', 'hidup', 'sabah', 'sarawak', 'mahal', 'barang', 'penghantaran', 'cukai', 'mahal', 'wahaii', 'rayat', 'sabah', 'sarawak', 'ini', 'yg', 'kita', 'dpt', 'kan', 'ckp', 'tdk', 'guna', 'tdk', 'berubah', 'pun']",non-sarc
"['maid', 'indonesia', 'demand', 'minimum', 'wage', 'dah', 'sekarang', 'ni', 'malu']",sarc
"['sabar', 'semua', 'ini', 'ketentuan', 'tuhan', 'kikiki']",sarc
"['bodoh', 'punya', 'kalau', 'budak', 'itu', 'umur', 'tak', 'ada', 'pengalaman', 'langsung', 'perlukah', 'kita', 'bg', 'gaji', 'minuman', 'bodoh', 'tolol']",non-sarc
"['bajet', 'sgt', 'bg', 'selaras', 'la', 'trus', 'semenanjung', 'dgn', 'sabah', 'sarawak', 'dpt', 'rm']",sarc
"['sektor', 'swasta', 'terus', 'direjam', 'bangkrap', 'titik']",sarc
"['lps', 'ni', 'makin', 'mahal', 'la', 'barang', 'gaji', 'pokok', 'dah', 'naik', 'brg', 'pon', 'naik']",sarc
"['maid', 'indon', 'senang', 'mintak', 'gaji', 'yg', 'rakyat', 'tempatan', 'minimum', 'menteri', 'buta', 'kayu', 'hapa']",sarc
"['byk', 'gila', 'rm', 'tu']",sarc
"['tipu', 'sja', 'ni']",sarc
"['minimun', 'sembang', 'je', 'tapi', 'penyelarasan', 'tiada', 'hampeh']",sarc
"['bodoh', 'punya', 'kerajaan', 'persekutuan', 'fikir', 'barang', 'kat', 'swak', 'sabah', 'murah', 'kah', 'dahlah', 'cukai', 'barang', 'mahal', 'bodoh', 'lah', 'otak', 'engkah', 'kat', 'lutut']",non-sarc
"['ada', 'perbezaan', 'semenanjung', 'sabah', 'sarawak', 'malaysia', 'konon']",sarc
"['gaji', 'minimum', 'sektor', 'swasta', 'disapu', 'bersih', 'mat', 'bangla', 'nepal', 'myanmar', 'vietnam', 'puihhh']",sarc
"['nape', 'nk', 'double', 'standard', 'mcm', 'ni', 'sabah', 'n', 'sarawak', 'bkan', 'dlm', 'malaysia', 'ke']",sarc
"['ramai', 'warga', 'asing', 'nak', 'masuk', 'malaysia', 'gaji', 'sama', 'warga', 'negara', 'rakyat', 'malaysia', 'tak', 'kerja', 'semua', 'penuh', 'warga', 'asing', 'tahniah', 'malaysiaku']",sarc
"['kecik', 'tak', 'cukup']",sarc
"['budjet', 'tu', 'mula', 'bulan', 'julai', 'ye', 'sebap', 'sempat', 'kutip', 'gst', 'ke', 'dulu', 'huhu']",sarc
"['terbaiklah', 'dato', 'najib', 'kami', 'tetap', 'sokong', 'dato', 'najib']",non-sarc
"['untung', 'la', 'permulaan', 'kja', 'basic', 'aku', 'kja', 'thn', 'baru', 'dpt', 'basic', 'ni', 'huhuhu']",non-sarc
"['malaysia', 'tapi', 'gaji', 'tak', 'sama']",sarc
"['klu', 'swasta', 'kena', 'tgu', 'julai', 'baru', 'naik', 'gomen', 'esok', 'dah', 'start', 'naik', 'nasib', 'la', 'nak', 'ooiii']",sarc
"['gah', 'canang', 'malaysia', 'bakal', 'jadi', 'negara', 'maju', 'tahun', 'tapi', 'jutaan', 'menerima', 'gaji', 'bawah', 'ringgit', 'maju', 'kejadahh']",sarc
"['sabah', 'sarawak', 'labuan', 'ada', 'gst', 'lh', 'apa', 'psl', 'tak', 'sama', 'tp', 'klau', 'undi', 'sabah', 'sarawak', 'yg', 'puji', 'lebih', 'isisisis', 'ini', 'tak', 'adil']",non-sarc
"['bodoh', 'cukup', 'kos', 'kehidupan', 'tinggi', 'barang', 'nsik', 'minyak', 'naik', 'tol', 'naik', 'dangan', 'gst', 'lagi', 'pm', 'meteri', 'meteri', 'bodoh', 'banggan']",sarc
"['najib', 'ingat', 'sarawakians', 'makan', 'mi', 'kolok', 'tiap', 'hari', 'ka', 'mentang', 'mi', 'kolok', 'xda', 'gst', 'knp', 'gaji', 'min', 'sbh', 'srwk', 'lbh', 'rendah', 'compared', 'smnjung', 'owh', 'inilah', 'yg', 'dikatakan', 'satu', 'malaysia', 'semuanya', 'sama', 'rata', 'mcm', 'dacing', 'bn']",sarc
"['babi', 'lah', 'sial', 'asik', 'pekerja', 'awam', 'yg', 'naik', 'gaji', 'babi', 'lah', 'sial']",non-sarc
"['gaji', 'minimum', 'dulu', 'laksanakan', 'inikan', 'pulak', 'ur', 'dream', 'lah']",sarc
"['jgn', 'pilih', 'kasih', 'kerna', 'sabah', 'dn', 'serawak', 'ada', 'lh', 'penyumbang', 'ter', 'besar', 'kpda', 'krjaan', 'undi', 'umno', 'dn', 'sabah', 'dn', 'serawak', 'lh', 'penyumbang', 'dana', 'dr', 'segi', 'pendapatn', 'kewangan', 'yg', 'tinggi', 'jdi', 'knpa', 'gaji', 'org', 'sabah', 'dn', 'serawak', 'lebuan', 'begitu', 'rendah', 'palui', 'pnya', 'org']",sarc
"['menteri', 'ni', 'tak', 'tau', 'yg', 'kos', 'hidup', 'kt', 'sabah', 'swak', 'dah', 'kl', 'adui', 'knp', 'xselaraskan', 'je']",sarc
"['tak', 'adil', 'nk', 'selaras', 'kesian', 'la', 'org', 'sarawak', 'sabah', 'labuan', 'nk', 'ditirikan', 'kan', 'satu', 'malaysia', 'najib']",sarc
"['apalah', 'dosa', 'sabah', 'sarawak', 'selalu', 'dianak', 'tirikan', 'bongok', 'pny', 'kerajaan']",sarc
"['bangsa', 'negara', 'matlamat', 'malaysia', 'tapi', 'sabah', 'sarawak', 'diberikan', 'layanan', 'double', 'standard', 'malaysia']",sarc
"['kata', 'satu', 'malaysia', 'tpi', 'nape', 'sabah', 'swk', 'rm', 'kalo', 'rm', 'tahap', 'miskin', 'niekan', 'pulak', 'yg', 'rm', 'sepatutnya', 'samarata', 'kami', 'disbah', 'swk', 'bayar', 'gst', 'dgn', 'nilai', 'yg', 'sama', 'malah', 'kami', 'kena', 'kos', 'penghantaran', 'membuatkan', 'brg', 'lebih', 'mahal', 'dri', 'semenanjung', 'satu', 'malaysia', 'kena', 'ulam']",sarc
"['alhamdulillh', 'tp', 'nape', 'xselaraskn', 'smua', 'sama']",sarc
"['still', 'tak', 'kalahkan', 'pr', 'punya', 'gaji', 'minimum', 'dulu', 'haha']",sarc
