comment,sarc_majority
naik 50 je..jp lagi die collect juta2..pemimpin zalim botak xbergune utk malaysia,sarc
"Baru nAik 50rm dah nak kecoh... Yang gas, minyak, tol,gst, letrik .... Semua naik harga ape crita",non-sarc
X pyah brim.gst cancel kira da ok..duit bnyk mna pun.habis juga,non-sarc
ge amik buat bayar cukai. ini semua mainan si najib.,sarc
Nda pyh brim org lain yg dpt mkn hasilnya,non-sarc
"Alhamdulillah,BRIM dinaikkan seiring ngan kos sara hidup yg meningkat, tol naik..x lame lg public transport plak akan naik..lg lame najib memerintah maka makin tinggi la BRIM tu..",sarc
Negara lebih memerlukan br1m itu. Tak pyh nak bagi kat kami. Guna utk byr hutang negara dan pulihkan ekonomi malaysia,sarc
Alhamdulillah.orang beri.ambik.he.he.tahun ni dah dapat.tahun depan pulak.insyaAllah.,non-sarc
yeahhhhh dpt brim lg tq jib pasni harga apa pula yg naik?? nanti bg alasan “rakyat da balon duit melalui br1m sbb tu utang negara banyak”  hahaha,sarc
Xpyhla brim ni..bkn semua dapat....,non-sarc
Gst lagi besar dari brim,non-sarc
Bagi Rasuah 1 Malaysia,non-sarc
Pemberian br1m xadil,non-sarc
KALAU BRIM NAIK ... KOmpom...MINYAK..TOL..GST..AKAN NAAAIIKKKK..,non-sarc
ini yang memyebabkan hutang negara tidak dapat diselesaikan.,non-sarc
"Pm paling teruk dlm sejarah negara. Dia ni tak ada tokoh jadi Pm, syok sendiri je dia bila bercakap tapi rakyat tengok pun meluat",non-sarc
Habis semua rakyat d perbodohkn..woi ingat kami d zaman firaun ke..nmpk sgt perangai mcm firaun.,non-sarc
lama2 bankrap lah kerajaan.. untung sikit..belanja banyak.. hmmmm tp tkpe rakyat kan bodoh.. naik cukai pom tk pe..,sarc
itu hari sembang ckp nak bagitau pasal duit 2.6b tu masa bentang bajet.mmg kaki kencing najib ni.,non-sarc
hampeh,non-sarc
Perbelanjaan untuk Br1m saja baru mewakili 2.8 peratus drpd jumlah bajet kerajaan..tahun depan boleh la diharap naik lagi..,sarc
bajet penipu..x de pape yg nk banggakan..,non-sarc
Bajet mencekik rkyat nma nya ni,non-sarc
X hbs2 kencing. Tan sr Zeti yg tahu debit kredit kewangan negara,non-sarc
Peruntukan pengursan ratus bil.peruntukan pembangunan puluh bil.saja.alahai.,sarc
Sokong najib,non-sarc
terima apa jua yg telah dibentangkan....dia buat yg trbaik...,non-sarc
Senang2 saja salur duit rakyat. Sukati dia aje nak bantai duit rakyat. Apa nak jadi.,non-sarc
Bajet teruskan langkah berimbang untuk keseksaan...kesengsaraan rakyat...kesejahteraan tang mana tuhhh!!!????,sarc
X tgk pun.. Org mintak lain tp lain yg ko kasi..,non-sarc
"SUNGGUH KA?? cam skrip je cantik, hasil belum tentu",sarc
"Kepala abah dia..apsal still bg duit pd kroni lagi utk buat pr1ma?ingat sume org dpt beli?jgn sembang mcm jilake..apsal gomen xpantau je kenaikan harga umah semasa?demi menjaga poket masing2?pegi mati lahhh.. Ni bukan bajet 2016,tapi 'BAJET KRONI 2016' bertemakan 'MENSEJAHTERAKAN KEHIDUPAN KRONI DAN KONCO2 BN'",sarc
Baget lowyer buruk....ada pitis ker dop??? Jiby....byk projek umah rakyat jem!,sarc
Berlanjawan hampeh......tak sinifikan dlm mengurangkan kos sara hidup rakyat. Gst dia kaut tapi cukai yg lain tak di sentuh langsung yg sepatutnya dihapus atau dikurangkan......incometax? Bkn ramai yg kena pun itupun perlepasan baru mcm suam2 kuku jee. Hasil negara kurang rakyat pulak jd mangsa jd tempat kerajaan buat duit dgn kutip berbagai cukai...penjawat awam boleh laa senyum skit.,non-sarc
Papa kedana sudah,non-sarc
bajet 2.6b utk diri sendiri... Huhuhu,sarc
sejahtera la sangat,sarc
"Bajet, paling x sedap. Bajet untuk sokongan politik pribadi..",sarc
Najib Babi,non-sarc
X da yg best,non-sarc
"Wuishhh. Ajaib ni. Belum laksana lagi dah tau untunggg. Hahaha. Siap sedialah minyak nk naik, harga barang dan ubat naik, cukai naik, dan najib naik.",sarc
PM haram jadah..,non-sarc
"Buat malu bapa dia sahaja.PM PM yang dulu mana satu semacam dia semua orang maki dan suruh dia turun ,dia pun tak sedar dan malu.Inilah PM Malaysia yang paling teruk dan dibenci orang ramai rayat malaysia.",non-sarc
bajet galak rakyat berhutang...,sarc
Semakin hancurlah..kehidupan rakyat semakin susah..,non-sarc
Jadahnya.,non-sarc
ekonomi mampan..rakyat merana..apa cer,sarc
semua bajet buat2 bagos puiiiii......puiiii......,sarc
Bajet jubo lembu,non-sarc
Cakapl le apa nak cakap...kita semua dah tak percaya,non-sarc
Ambil kira 1mdb lah mangkuk...,non-sarc
"Sebelum bajet dibentangkan,, kononnya  nak ambil kos sara hidup yg makin meningkat,,itu keutamaan katanya,tapi tak nampak pun kos akan turun,,makin nak naik adala,,mampukah kerajaan skrg menurunkan kos sara hidup",sarc
X per...lagi 3 tahun...sebelum pru 14...lepas tu siapla...najib dan semua pak menteri...idup ni bukan lama man pun...last2 mati gak,non-sarc
bajet menipu rakyat,non-sarc
Iyerlahhh ikut tekak kepala bana punyer bajet... “menteri kalu tak suke rakyat bangkang bole pi hutan berkawan dgn binatang” rakyat,non-sarc
Bajet baik..bajet mulia...bajet bagus. Last2 dia org je untung,sarc
Sangat2 tidak adil!,sarc
SYUKUR TUHANKU T.KASIH BN,non-sarc
Ingat orang sabah makan batu.,sarc
"hahaha tak guna la naikkan gaji kalau semua brg, pengangkutan pun naik gak....",sarc
Mana salleh keruak ni..y ni ko nda bising.y kau tau bodek najib jak.bahlul pnya menteri.,non-sarc
Knpa plu ada rm20 lg. Npa x bg genap ja rm100 supaya sma dgn smenanjung rm1000. Bongok punya krjaan,non-sarc
Tak selaras langsong.......,non-sarc
Bodoh paluii,non-sarc
Yg aku msih xpuas hati pengangkutan awam knp ada gst jugak??.. Makin kering la org sabah swk sbb bn najib dh main sedut ... Satu2nya penghubung ke melaya.. Wtf....,non-sarc
Apa mau makan kalau 920 saja ohhhhh,sarc
Semenanjung contoh 1 $100/- Sarawak contoh 1 $150 Sabah contoh 1 $200 Fikir fikirkan lah Kalau tak faham  Bezakan harga penghantaran dan pembelian This is SUCK SUCK all of our money to them  macm mna nak hidup  GST MINYAK BARANG2 kerpeluan isi rumah,non-sarc
bodoh punya menteri....,sarc
kalau gaji di semanjung 1000 gaji di Sabah Sarawak mesti la sama 1000 juga KNP ada double standard.. kata 1Malaysia..mana dia Sehati Sejiwa..Kenapa menteri Sabah Sarawak ini senyap je..makin benci org Sabah Sarawak dgn Malaya..,sarc
Sedap ko warga asing la...org lama gaji xnaik pun...,sarc
Pasal apa sabah sarawak lain..x d sama kn dengar smanjung..belacan!!!,sarc
"Orang sabah, sarawak tak payah pakai duit ke",sarc
Ini smua poyo!!,sarc
Npa x sma?ko ingat dorang d sna jak mw hdup ka bangang,sarc
BN ni mmg bhlul...tgu LA bn ni mampus....,non-sarc
Babi punya dasar..!!kenapa xdiselaraskan shj..?kami di sabah sarawak terpaksa byr tinggi utk harga brgan bbnding semenanjung....bknkh swk penyumbang utama sumber ekonomi malaysia.?fair n square laa..xmntk lbih babi,non-sarc
"Nampak sangat sabah sarawak di anak tirikan,bukankah dua negeri ni penyumbang besar pendapatan kerajaan?",sarc
Macam beli barang dlm online je.. semenajung and sabah Sarawak...nak claim pastage...pm apasal kou bahalol sang at ha,sarc
Alhamdulillah .,non-sarc
Knpa sabah sarawak 920 sdgkan kos sara hidup di sana lebih tinggi harga barang pun mahal...,non-sarc
Duit malaysia sama nilai dgn rupiah...huhuhu....,sarc
Ingat 1000 tu besar ke dgn keadaan ekonomi skg ni. Org gaji indon pn gaji 1200.,sarc
Yang tahun lepas belum lagi di kuat kuasakan ... mari saksi pembohongan kerajaan pelingkup...,non-sarc
"sepatutnya Semenanjung rm920, sabah sarawak labuan rm1000. HARGA BARANG KAT SSL MAHAL TAU TAK BABI BUTUH SIAL LANCAU. SAMPAI BILA KAU NAK LANCAUKAN GAJI SSL? BABI GAMPANG SIAL LANCAU KIMAK JADAH",non-sarc
Alhamdulillah naek jgk gji brsyukur laa pa yg da...walaupon sdkit mnrr laa tau berkat duit tuh amin...,non-sarc
Rm1000 da x releven la weyh,sarc
Idup2 r kne tipu,sarc
"Knp Sabah Sarawak di ank tirikn, gaji naik tggu Julai bodoh gilakan, sal x Januari je",non-sarc
Klu mc ni le ..mmg msih x mcukupi ..skg brng2 mahal ...klu ank rmai mmg x ckup seribu .zmn skg smua nya mhal,non-sarc
Aq org semenanjung..tp aq rasa x adil..gaji org sabah sarawak Rm 920..knp x up kan 1k...bermakna org asing dtg kje kt Malaysia diorg lg kaya...,non-sarc
Gaji dh naik. ....pekerja di perah naikan produktiviti 20%.......klu tak dpt hari2 kena tarok......aptb......,non-sarc
ape beza Rm920. ?alg2 bgi RM 1000 jk lha. ?puiii,non-sarc
Tak adil btl la cm ni sbh srwk 920 semenanjung 1000...nmpk sngt berat sblh...,non-sarc
"Kahsian rakyat semenanjung kena tipu lg, sabah & sarawak kena tipu lg banyak! Hahahaha..",sarc
Patutnya sabah sarawak la yg lebih lagi gajinya.. Dah semua lebih mahal kt sana..bodoh punya najib,non-sarc
Kita hannya berpuas hati bilah kita menjadi negara sabah sarawak.hidup sskm.,non-sarc
Tak adil....timbangan Bn berat sblh Puiiiiiiiiiiiii...pemimpin Bongok,sarc
Kerajan babi. Kerajan serawak dan sabah pun babi tak bantah langsung,non-sarc
Kerajaan x adil.. 1 negara tp berat sebelah.. brg yg d sbah n srwak lg mhal. Org2 prkja swasta jauh blik ke kg hlaman. Kn lg baik harga d seluruh negara d selarikan. Kenaikan gji pn kena d sama rata kan.,non-sarc
Igt sabah swk labuan kos hidup x tinggi ka. Labuan terutamanya bandar oil and gas..semua kat sini mahal tau x,non-sarc
"Sarawak dan Sabah mmg dah lama dianaktirikan oleh Umno. Itu sbb tangga gajipun boleh berbeza. Tapi bila pemasaran kuat, contohnya bagi TOLL FREE (sebenarnya pondok tol saja bagi free, tol ttp kena bayar) dll yang bertajuk “FREE”, maka rakyat Sarawak dan Sabah (ntahlah sekolah tinggi ke tidak) akan teruja dan begitu terhutang budi pada PM dari Umno. Undilah lagi BN iya!!! Tapi mungkin elok juga ada perbezaan dari Semenanjung sbb bila orang Semenanjung ke sana kena sekatan mcm2. Dulu ke Sabah nak kena bagi IC dan mcm2. Mcm ke luar negara betul.",sarc
Sedikit? Banyak adalah...,sarc
"Pandai2 la bajet,rm1000,skrg ni la kne thu nilai berjimat,jgn bazir.walau 5sen,nti xd duit syling nk byar GST huhuhuhu,",sarc
Mcm berat sebelah je,sarc
Tidak adil,non-sarc
Hahahahahah. Napa di bezakan.maka negeri penyumbang yang besar utk kerajaan pusat.,sarc
Sabah for sabahan. Kami mahu macam singapore urus Negara sendiri!!!,non-sarc
Harga rumah cemana pulak Najib??kenapa berbeza semenanjung dan sabah sarawak ??macam nyanyuk je,sarc
Naik gaji pun nak bayar dgn duit GST sampai bodoh,non-sarc
Puiii.....baik xpayah kata 1malaysia..bagi la sama2 rata??????,sarc
PRU 14..sabah serawak akan dipecah lagi mjadi 100 parlimen..menang lagi umno bn..hahaha.,sarc
Gaji xsama???..sebab org sabah serawak lebih bangang dari org semenanjung..hasil pusat sapu..bagi sechiput..padan muka..undi bn lagi..hahaha.,sarc
Gulung tikar la bn n umno..nti pru13..hahahaahha..ni bkn tlg rkyt..tp kc beban rkyt sbh n srwk..pa gna satu malaysia..gaji tk sama ngn smjung...skrg org muda2 sbh n srwk..da muak tw...:-p,sarc
Knapa tidak d selaraskan..knapa perlu berbeza..adakah sabah warga negara kelas ke 2!!!! Mna perginya otak najib,sarc
"Upkan gaji pun jd seribu seribu setengah sama gak. Kos sara hidup akan sama naik. Korang ingat kat mana majikan ni nak cover kenaikan gaji pekerja mereka. Tentulah pada caj perkhidmatan kereka nanti. Naik kos pengangkutan , naikan kos harga barang. Semua naiklah bukan sikit. Kalau sorang dua xpa tp kalau dah satu kilang. Sendiri fikirlah. Kalau aku aku pun naikkan caj perkhidmatan yg aku jual.",non-sarc
Soo sabah dan sarawak pakai cawat llagii la kalau dah gaji mcm ne,sarc
Kenapa masih wujud perbezaan ﾅgaji minimum ? Rakyat Borneo ne kelas ke 2?,non-sarc
Bangang punya najib penyamun.. Main letak je gaji minimum.. Ntah bila dia buat kajian pun tak tahu..,non-sarc
"La ni seribu apa bkin,,, bodoh",sarc
tk adl..gji tk sma...sma2 mkn nsi gak...,sarc
"Bayar gst sama bayar minyak sama bayar tol sama,  tapi knapa gaji x sama,  kata 1 Malaysia,  cibai apa cm ni... Selaraskan je la skali...",non-sarc
Org Sabah Sarawak sokong lg Bn Najib. Dia buat kita macam xde maruah. Jauh bezanya kita ngan Malaya.,sarc
"Kenapa gaji di semenanjung tidak sama dgn gaji di serawak, sabah & labuan? ???? Sedangkan harga barangan di 3 tmpat ini lbih mhal dp smenanjung!!",non-sarc
Gaji naik tapi.bisnes teruk..ntah apo2,sarc
Dari dlu kerajaan dibawah pimpinan najib TIDAK ADIL..sama2 makan jg..gaji x sama rata,sarc
hantu jembalang,non-sarc
Besar sgat lah rm100 tu kalau nk dibandingkan dgn cost of living skrg. Dah lah..tkyah nak ulang2 psal kenaikan yg tak seberapa tu.,sarc
Kata 1m..... sooo ngaper sana gaji rendah... dh le brng sabah sarawak pun mahal sikit dri semenanjung kalau order ada plak... charhe lain utk s&s. Patut gaji sana la kena lebih sikit.... ntah apa apa.... bagi sikit ambil banyak...,sarc
Saya tak paham knapa Sabh & Srawak gaji minimum tak semarata kat semananjung...klu bgeni Sabah & Srwsk pun rendah juga GST atau hapuskan GST di Sabah & Sarawak...,non-sarc
Kilang aku da 1200. Jauh ketinggalan da ko kera jaan. Patut skrg gaji smua 1500. Bkn 1000.,sarc
Kenapa suri rumah indon diberi gaji minimum 1200? Sdangkan pas pejalanan mereka ditanggung oleh majikan sendiri? Kenapa gaji rakyat tempatan sendiri lebih rendah dari suri rumah? Nampak sangat wayang disitu..,sarc
Kekalkan umno di sabah n serawak.mp yg anda undi semua pembodek utk kepentingan sendiri..,sarc
Pandai pemainan nye...,sarc
"tak paya ada gaji minimum, cukupla tiada gst n harga minyak tak naik. minyak naik ja, ada barang turut naik. diorang ingat transport antar barang tdk guna minyak ka. kos makin bertambah",non-sarc
Gaji minimun thailand lagi tinggi. Huh. Walaupun kita ni gaji tinggi sikit tapi kasihan orang2 lain. Malaysia Malaysia. Malang ada pemimpin macam ni,sarc
1 julai???..knp pula x mula 1 januari ..gst dri april lg..itu ini dh naik!,sarc
barang di sabah mahal bah.. kenapa berat sebelah,non-sarc
phuiii ko sana..nak mkn apa dgn 1000 kt kl ni..semua benda naik..xpayah ckp byk ...tunggu je pru ni..kpd semua rakyat malaysia..mari kita bersama2 bersatu hati pangkah PAS...Hidup Hadi Awang...,non-sarc
Gaji minimum kepala omak ko la..900 la seribu la..dah mcm bangla dah..nak idup mcm mana gaji mcm tu..,sarc
nampak sangat yg undi bn/umno di sabah dgn sarawak bukan 100% pure malaysia.. sbb puak umno sendiri permainkan hak orang sabah/sarawak..  nasib la.. negeri sana hanya diperlukan time talian hayat paras leher je..,sarc
Hanya Orang Sabah & Sarawak Yang lebih tahu sakitnya dianak tirikan di negara sendiri  .. mana konsep 1 malaysia ??? Orang SABAH & SARAWAK  buka la mata ..,sarc
1 bln rm80...1 tahun rm80x12=rm960...tQ pak jib...SS ttap ank tiri mu...barg mhal utk SS tp gaji murah utk SS...eko mlysia SS yg byk mnyumbangkn...adakh ini 1 mlaysia 1 sehati sejiwa? sya ank sarawak..,sarc
Smp bila la sbh&swk ditindasﾲ nie .,non-sarc
najip kepala butoh...tak adil bn jelakee.,non-sarc
Bahalul punya pm.....tahun lepas dia umum gaji minimum rm1200 tahun turun pula jdi rm1000.....,sarc
jangan salahkan kitorang sebab tuntut hak refrendum.kerajaan x fkir ke kenapa rakyat sarawak nak kluar malaysia..kalau diikutkan kitorang boleh keluar dh.,non-sarc
"Knpa sem.mlysia naik seribu je..ckp ke...menteri2 oiii,..tgok lh skt org kerja swasta..yg dh lama kerja knaikn pun xbyk..cuba bahaskn utk knaikkn tahunan pkerja swasta min brpa...lg ok kan...brg semua naik..toll pun naik harga...oiii najib undur lh...mluat aku tgok kau...",sarc
yg untung wrga asing,sarc
"Cukup ke RM1000 bagi mereka yang tinggal di bandar. Barang-barang terlalu mahal, sewa, kereta, makan minum, kalau saya. RM1000 memang langsung tak cukup hidup dibandar. RM100 ITU nilainya sekarang macam RM10. Beli makanan ringan anak pun habis. Duit Malaysia semakin kecik.",sarc
Lingkup lah najib kali ini. Kbye,sarc
GST sama rata satu malaysia ...gaji minimum semenanjung lebih tinggi dr borneo..mmg berat sebelah  pemimpin hari ni..kenapa mesti lebih di semenanjung ????,non-sarc
Mana cukup rm920 d sabah sarawak harga barang makan mahal terutama barang dapur,non-sarc
"Ape ni? Gst kami bayar sama rata, harga barang kat sini lagi mahal...bila bab-bab gaji, tak nak sama rata, ape kes..gst nak, nak bayar gaji sama rata taknak... BN dah nyawa2 ikan...buat rambut beribu2, macam sarang lebah dapat pulak wei...",sarc
"Oiii banyak gila!!! Macam2 bole bayar tu...kena sokong Najib la lepas ni....bole byr kete, rumah, ank msuk u..mcm2 lg...ngokkk betul",sarc
"Tak apalah sabahan & sarawakian masih suka & pangkah bn, biar pi lah bleh buat apa...??",sarc
Terima kasih DSN...,non-sarc
Ksiannya org2 sabah srawak..dh la brg kt sna mahal..gaji plak rendah..hurm,sarc
Gaji dh rm1000 dh x naek ke...punndek btol lh.,sarc
"inilah bukti yg terang2 najib anak tirikan SS, semenanjung dapat 1000 kita dapat 920, so apa komen najib",non-sarc
"Rm920.00, dibtu hanya untuk korek tahi hidung sahaja.",sarc
INI TIDAK ADIL..!!!,non-sarc
Adil la cikit...warga asing dgn kita rakyat malaysia basic sama mana boleh...org luar tetap org luar. rakyat malaysia yg di dulu kan. Lebih kan rakyat dulu..adoi mcm ank tiri pulk duduk di negara sendiri..gaji pun tk ada beza dgn warga asing,sarc
Sabah Sarawak pangkat kerani ja. semenanjug pangkat pegawai. mana bole sama gaji....,non-sarc
Ni signal la utk kita jgn undi BN lagi..kuburkan je BN next PRU..,sarc
kesian lah kita org sabah sarawak wp.labuan...baru rm920...gaji.. ahhhhhhh ketara banar pilih kasih nya.....ujah 1 malaysia.... #dapattahisaja#,non-sarc
"Saya btl2 hairan la dgn kerajaan,  apa beza Sabah dan Sarawak dgn Semenanjung Malaysia???gaji pun ada taraf ka?? Gaji pulak nilai dibezakan sedangkan bayaran cukai pendaoatan dan GST sama saja nilai yang dituntut...??kamu pikir sabah dan sarawak ni batu ka???",sarc
Kalau macam tu. Baik sarawak sabah keluar malaya ja. Dacing pun berat sebelah dah.,sarc
"Maklum la,kami org sarawak duduk atas pokok dan pakai cawat..sebab itu org bagi gaji kecik pun kami x kisah punya..sabar je la,nk buat mcmmana..",sarc
Apa beza org smnjg dgn sbh srwk? knpa mesti ada prbezan gaji??????  nda tau ni PM apa dlm otak dia,sarc
SIAL KEPALA BUTUH PAK MENTERI SEMENANJUNG PILIH KASIH.... BUKAK LAH MATA ANAK2 SARAWAK!!!,non-sarc
"Tapi harus di ingat, bila kerajaan naikkan gaji minima RM1000 jgn ingat kerajaan tu bodoh. Sebenarnya mereka bijak. Bila gaji naik, EPF pun naik. Umur dah 55tahun baru boleh amik EPF. Sebelum kita amik duit tu, kerajaan mampu melangsaikan segala hutang2 dgn menggunakan duit EPF.",non-sarc
kalau dbandingkan harga barang smnanjung n sabah sarawak...smnanjung lgi murah n knpa lh gaji smnanjung lebih tinggi dbandingkan dgn  sabah sarawak.....hasil bnyak datang dari sabah sarawak....perlu adil lah ....,non-sarc
Menteri2 sabah .. x dah 1 pun yg berani bersuara ..  semua kaki bodek .. nama jee 1 malaysia .. tapi gaji x selaras dgn semenanjung ..,sarc
"Orang sabah sarawak pakah la lg umno,hahaha",sarc
Kenapa x diselaraskan.Sabah sarawak pun bayar cukai.Kata 1 Malaysia.bijaN oh bijaN.,sarc
pilih buluh btul la PM ne. Gaji d sabah cuma rm 20 rggit saja yang naik. Sdkan semenanjung rm 100 rggit. Jauh nya bezanya.  Ini memang tak adil....,non-sarc
"Cakap Kencang, buat undang2  Kencang, enforcement??? Habuk pun tarak. Tak guna buat apa2 undang2 pun. Serupa tak buat apa2. Bila tanya, bergantung kepada syarikat. Wayang betul",sarc
"sudahlah brg2 di Sabah mahal daripada smnjng, gaji pula dia bag I kecik, weii!! double standard btl!!",non-sarc
Sabah dianaktiri kan oleh malaya,sarc
bodoh...Sabah Sarawak labuan 920...smenanjung 1000.....pergi Sabah tgk harga barang mana murah sana ke smnjg????..Surat khabar metro pun sana lg mahal..hahaha..mcm mana kt sana bole kasi gaji kicik..indo minta 1200 terus mesyuarat.....nmpk sgt berat sebelah..,sarc
Swasta....wlu pun 1000 tp majikan kt klg2 tetap ambik indon kerja....untung la...dok asrama semua free...bersih dapat basic 1000....rakyat malaysia jugak akan di anak tiri kan...,sarc
knp ade perbezaan? hrga brg dkt sne lg mahal sbb charge penghntaran...dah laa seb baik ade sbh swak je najib leh menang..klau kat semenanjung ni..nyawa2 ikan je tinggal..,sarc
Hahaha bgus2 lpas ni senang nk pau duit rakyat banyak skitt,sarc
#1malaysia hotak dia berjangbul.. bagi la sama rata.apa nk beza2 plk.,sarc
"Kesian btl...knpa sabah dn srwk,lbuan gji mcm tu....duk kl pun mna ckup mcm tu...nape lh mnteri2 nie....Guys ingt piliharaya Nnti...... Sumpah btl mnteri2 nie klu menteri indon minta pmbantu rumah 1200, d prtimbangkn lg...kita nie rkyt msia kja dri pgi smpi mlm...ssh dpt gji mcm tu.....hampeh btl...",sarc
Gilak...ko igt org sabah sarawak telan minyak ndak payah makan nasi. Bangang betul ini bajet. Cok ko duduk di sabah 1 bulan dengan gaji minima rm920. Aku rasa mati2 ko memaki dengan kerajaan sekarang. Sial.,non-sarc
Sampai bila nk diskriminasi org borneo..????? Gst tak pula kasi kurang sama org borneo... Sama juga byr jumlah yg sama.. Puiii!!!!,non-sarc
Ok la tpi entah la,sarc
Nape sabah sarawak gaji murah. Siannye.. brg2 sana kan mahal dr semenanjung.. sigh~,sarc
"Teruk la utk majikan baru.. company br je bukak dh siksa nk bayar gaji pekerja... mcm mana nk berkembang, mcm mana nk maju. Kalau dh maju lain cerita lah... xde makanisma yg btl2 cantik la..",non-sarc
1 julai 2016...5 bln ag nk msok thun bru..alahai pok jib...knp x teruskn ckp awl thun 2017..,sarc
mengapa d semanjung 1000 di swak dan sabah 950 apa bezanya. mengapa tidk d seraras sekali ya itu 1000 d swak dan d sabah.  malah kos d swak lbh besar dri d semanjung. ini d kata kan 1  malaysia. semua nya jadi pak turut. mcm karabau d cucuk hidung.,sarc
"Suruh menteri buat ujukaji.. Gaji seribu.. Dok bandar.. Dgn sewa rumah, bil2 pelbagai, anak2 sekolah, makan minum.. Silap2 motor pun x mampu nak beli.",sarc
1mlysia gaji tk 1mlysia pn..napa kurng sma2 jg mkn bli pkai duit..mo byr suma sma puiii,sarc
tdk adillll...kmi sabah sarawak mahu diselaraskn...mna 1mlysia ???,non-sarc
pundek LA....plek tp benar.....,sarc
"Menteri borneo dh senang,penting diri sendiri,sbb tu sabah serawak jgn mudah terpedaya,setiap agenda ada muslihat tertentu,ni semua lanun",sarc
"Apa lh mcm ni x adil btl,gj srwk ngN sabah 920 je ke sbln.....x mgkn blh mcm ni....kbnykan hsl srwk ngan sabah dtg dr titik peluh diaorg jg nak bg mju ngri sdri jg",non-sarc
Najib cakap xserupa bikin..suka2 naik...majikan yang pening nanti...xpasal2 tutup terus..! Huhu...,sarc
"Setakat seribu, lah ni nak mkn apa dgn semua barangan mahal dn gst lg yg hr2 kena byr setiap kali berbelanja, sewa rumah je paling murah pun rm 450 lain2 hal lg, bodoh, bangang, bahlol, pm ni, dia gaji puluh ribu pun x cukup2, rompak duit rakyat dn negara lg, rakyat setakat seribu, kena buat dua, tiga kerja seharian pun belum cukup dgn keadaan barang yang mahal skrg ni. Pm ni akal letak kat bontot rosma agaknya.",non-sarc
"Heyyy.. Hasil Sabah sarawak kalu maw di ambil bukan main... Kerana Sabah Sarawak manang Undi,, tapi kami kat belakang juga..kalu di ikutkan kos hidup Sabah Sarawak lagi mahal, Barang penghantaran cukai mahal Wahaii rayat Sabah Sarawak ini yg kita dpt kan.. Ckp pun tdk guna juga tdk akan berubah pun..",non-sarc
Maid Indonesia pun demand minimum wage 1200 dah sekarang ni.. Buat malu betul,sarc
sabar semua... ini semua ketentuan tuhan... kikiki,sarc
Bodoh punya...kalau budak itu umur 17 atau 18 tak ada pengalaman langsung perlukah kita bg gaji minuman...bodoh tolol,non-sarc
"Bajet sgt, bg selaras la trus semenanjung dgn sabah sarawak dpt rm1000",sarc
Sektor swasta akan terus direjam....bangkrap!!!....titik,sarc
Lps ni makin mahal la barang2.. Gaji pokok dah naik.. Brg pon naik,sarc
Maid indon senang2 mintak gaji 1200...yg rakyat tempatan minimum 900 ...??? Menteri buta kayu ke hapa??,sarc
Byk gila Rm1000 tu...,sarc
Tipu sja ni.....,sarc
Minimun ..sembang je...tapi penyelarasan tiada...hampeh..,sarc
Bodoh punya kerajaan persekutuan.. fikir barang kat swak & sabah murah kah.. dahlah cukai barang mahal.. memang bodoh lah.. otak engkah kat lutut,non-sarc
Kenapa ada perbezaan di antara Semenanjung dan Sabah Sarawak...1 Malaysia konon.,sarc
"Gaji minimum sektor swasta disapu bersih mat bangla,nepal,myanmar,vietnam.puihhh",sarc
nape nk double standard mcm ni...sabah n sarawak bkan dlm malaysia ke....,sarc
Maka ramai warga asing nak masuk ke malaysia....gaji sama dengan warga negara....rakyat malaysia tak kerja...semua penuh dengan warga asing...tahniah #malaysiaku,sarc
kecik sangat tak cukup,sarc
kenapa budjet tu.mula bulan julai...ye..sebap sempat kutip gst ke..dulu huhu,sarc
Terbaiklah dato najib . kami tetap sokong dato najib .,non-sarc
Untung la..permulaan kja basic 1000..aku kja 3thn baru dpt basic ni..huhuhu,non-sarc
1 malaysia tapi gaji tak sama...,sarc
klu swasta kena tgu julai baru naik kalau gomen esok dah start naik..nasib la nak ooiii,sarc
Gah canang malaysia bakal jadi negara maju 5 tahun lagi tapi jutaan masih menerima gaji bawah 1000 ringgit....maju apa kejadahh...!!,sarc
"Sabah ,sarawak,labuan pun ada GST lh ,,,apa psl tak sama,,,,,tp klau Undi  sabah sarawak yg puji lebih ,,,isisisis,,, ini tak adil !!!",non-sarc
Bodoh mana cukup kos kehidupan tinggi dengan barang nsik minyak naik tol naik dangan GST lagi. Dengan  dapat PM dan Meteri Meteri bodoh lagi banggan...,sarc
Najib ingat sarawakians makan mi kolok tiap2 hari ka? Mentang2 mi kolok xda gst.. Knp gaji min sbh srwk lbh rendah compared to smnjung? Owh inilah yg dikatakan satu malaysia.. Semuanya sama rata mcm dacing BN.,sarc
Eh babi lah sial asik pekerja awam saja yg naik gaji. Memang babi lah sial,non-sarc
Gaji minimum 900 dulu pun bukan semua laksanakan. Inikan pulak 1000. Just in ur dream lah.,sarc
"Jgn pilih kasih kerna sabah dn serawak ada lh penyumbang ter besar kpda krjaan undi umno dn sabah dn serawak lh penyumbang dana dr segi pendapatn kewangan yg tinggi, jdi knpa gaji org sabah dn serawak lebuan begitu rendah palui pnya org",sarc
Menteri ni tak tau ke yg kos hidup kt sabah swak dah macam di kl.. adui...knp xselaraskan je...,sarc
"tak adil.. bila nk selaras.. kesian la org sarawak, sabah dan labuan... bila nk ditirikan... kan satu malaysia... Najib2...",sarc
Apalah dosa Sabah & Sarawak....selalu dianak tirikan...bongok pny kerajaan...,sarc
